,Type,Rooms,Bathroom,CarSpots,Landsize,BuildingArea,YearBuilt,Price,SellerG,DateSold,Suburb,DistanceFromCenter,Lattitude,Longtitude,Regionname
1 Fletcher La,house,2,1.0,1.0,73.0,104.0,2009.0,800000.0,Nelson,2016-10-12,Carlton North,3.2,-37.7852,144.9719,Northern Metropolitan
1 Flinders St,house,3,1.0,2.0,581.0,,1975.0,821000.0,Stockdale,2017-08-26,Keilor Park,10.4,-37.72282,144.85681,Western Metropolitan
1 Flodden Wy,house,5,2.0,2.0,742.0,197.0,1990.0,,,,Briar Hill,16.1,-37.70437,145.11853,Eastern Metropolitan
1 Florence St,house,3,1.0,0.0,436.0,92.0,1910.0,1010000.0,hockingstuart,2017-10-21,Seddon,5.1,-37.80868,144.88483,Western Metropolitan
1 Ford Av,house,3,,,,,,600000.0,Barry,2016-08-28,Sunshine North,13.3,,,Western Metropolitan
1 Fraser St,house,3,1.0,1.0,649.0,105.0,1975.0,395000.0,YPA,2017-08-26,Melton South,29.8,-37.69891,144.57645,Western Victoria
1 Frogmore Rd,house,3,2.0,2.0,751.0,40.0,1923.0,1600000.0,Woodards,2016-07-05,Carnegie,11.4,-37.8945,145.0648,Southern Metropolitan
1 Fuller St,house,4,2.0,2.0,740.0,,,1351000.0,Jellis,2016-05-28,Bulleen,11.8,-37.7781,145.0901,Eastern Metropolitan
1 Furneaux Gr,house,4,3.0,2.0,,260.0,1975.0,,,,Bulleen,10.8,-37.7787,145.0848,Eastern Metropolitan
1 Garden Tce,house,3,2.0,2.0,430.0,,,,,,Melton West,31.7,-37.68111,144.54468,Northern Victoria
1 Garrett Cr,house,3,2.0,2.0,368.0,96.0,1940.0,795000.0,William,2017-07-10,Bellfield,8.8,-37.75259000000001,145.03621,Eastern Metropolitan
1 Gay St,house,4,2.0,2.0,617.0,155.4,1950.0,,,,Blackburn North,13.4,-37.80807,145.15732,Eastern Metropolitan
1 George St,house,3,1.0,2.0,369.0,94.0,1950.0,735000.0,hockingstuart,2016-08-10,Preston,8.8,-37.7359,144.985,Northern Metropolitan
1 Gilda St,house,3,1.0,2.0,417.0,,,793000.0,hockingstuart,2017-05-27,Maidstone,6.4,-37.78867,144.87397,Western Metropolitan
1 Giuliano Ct,house,3,2.0,2.0,288.0,116.0,1999.0,700000.0,Nelson,2017-04-03,Keilor East,12.8,-37.7514,144.8731,Western Metropolitan
1 Gladesville Dr,house,5,2.0,2.0,611.0,188.0,1950.0,1220000.0,Buxton,2017-01-07,Bentleigh East,13.8,-37.93228,145.07026000000005,Southern Metropolitan
1 Glenbrook Av,house,4,,,,,,1445000.0,Harcourts,2017-11-25,Clayton,16.7,,,South-Eastern Metropolitan
1 Glenn Ct,house,4,2.0,2.0,,192.0,1999.0,955000.0,Harcourts,2017-09-16,Rowville,23.5,-37.93328,145.25558999999996,South-Eastern Metropolitan
1 Gloria Ct,house,3,1.0,2.0,,,1980.0,765000.0,RW,2017-10-28,Bundoora,12.1,-37.69829,145.0736,Northern Metropolitan
1 Gnarwin St,house,3,2.0,2.0,,,,,,,Mount Waverley,14.2,-37.885,145.1227,Eastern Metropolitan
1 Goodenough Ct,house,3,2.0,0.0,643.0,,,830000.0,Barry,2017-04-03,Heidelberg West,9.4,-37.737,145.0364,Eastern Metropolitan
1 Goodrich St,house,3,1.0,4.0,663.0,150.0,1960.0,1240000.0,Woodards,2017-09-12,Bentleigh East,13.8,-37.91153,145.07831000000004,Southern Metropolitan
1 Gordon Ct,house,3,1.0,4.0,640.0,97.0,1950.0,737000.0,Stockdale,2016-08-10,Glenroy,13.0,-37.6986,144.9243,Northern Metropolitan
1 Gould Pl,house,4,4.0,3.0,892.0,172.0,1989.0,,,,Mooroolbark,26.5,-37.76854,145.32169,Eastern Victoria
1 Gowanbrae Dr,house,3,2.0,2.0,608.0,138.0,2001.0,631000.0,Nelson,2016-03-09,Gowanbrae,13.6,-37.709,144.8925,Western Metropolitan
1 Grace St,house,3,1.0,2.0,,,,,,,St Albans,14.0,-37.73506,144.81206,Western Metropolitan
1 Graeme Cl,house,4,3.0,2.0,507.0,,,2000000.0,Barry,2016-10-12,Doncaster,13.9,-37.7738,145.1308,Eastern Metropolitan
1 Granville St,house,3,1.0,1.0,639.0,,,932000.0,Stockdale,2017-09-09,Glenroy,11.2,-37.70234,144.92123,Northern Metropolitan
1 Gray St,house,3,2.0,1.0,356.0,,2009.0,,,,Doncaster,13.9,-37.7898,145.1065,Eastern Metropolitan
1 Greenbriar Av,house,4,2.0,2.0,813.0,,,1370000.0,hockingstuart,2017-09-12,Wheelers Hill,16.7,-37.89969,145.18551000000005,South-Eastern Metropolitan
1 Greeney St,house,3,1.0,1.0,491.0,123.0,1968.0,,,,Altona,11.0,-37.8575,144.8206,Western Metropolitan
1 Greenways Ct,house,4,3.0,1.0,585.0,,,1270000.0,Hodges,2017-10-28,Parkdale,21.5,-37.99008,145.07012,South-Eastern Metropolitan
1 Greville St,house,3,1.0,2.0,,127.0,1970.0,1100000.0,Ray,2017-07-10,Huntingdale,12.3,-37.90564000000001,145.10509,Southern Metropolitan
1 Griffiths St,house,2,2.0,1.0,55.0,,,1105000.0,Biggin,2016-08-22,Richmond,2.6,-37.8159,145.0033,Northern Metropolitan
1 Grimwade St,house,3,,,,,,738000.0,Nelson,2016-03-09,Reservoir,11.2,,,Northern Metropolitan
1 Grosvenor Ct,flat,3,1.0,0.0,1099.0,,,1635000.0,Sotheby's,2016-10-09,Toorak,4.6,-37.8438,145.0303,Southern Metropolitan
1 Grosvenor Pde,house,3,,,,,,1520000.0,Marshall,2017-09-16,Balwyn,7.9,-37.80772,145.08168,Southern Metropolitan
1 Grout St,house,3,1.0,2.0,400.0,,,1325000.0,RT,2017-06-24,Hampton,13.8,-37.93434,145.00816,Southern Metropolitan
1 Guildford Rd,house,3,2.0,2.0,569.0,154.0,1920.0,,,,Surrey Hills,11.2,-37.8213,145.0874,Southern Metropolitan
1 Haddington Cr,house,5,2.0,2.0,981.0,301.0,1990.0,1020000.0,Barry,2017-11-18,Greenvale,20.4,-37.6529,144.8888,Northern Metropolitan
1 Hadley Cl,house,4,2.0,4.0,630.0,179.0,1985.0,600000.0,C21,2017-09-12,Kealba,14.0,-37.73429,144.82178000000005,Western Metropolitan
1 Hanby St,house,3,,,,,,2100000.0,Buxton,2016-06-18,Brighton,11.2,-37.9251,145.0006,Southern Metropolitan
1 Harley Ct,house,3,1.0,2.0,684.0,,,740000.0,Nelson,2016-10-15,Keilor East,12.8,-37.7426,144.8599,Western Metropolitan
1 Harmer St,house,4,2.0,3.0,936.0,262.0,1985.0,885000.0,hockingstuart,2016-07-26,Reservoir,11.2,-37.7021,145.0178,Northern Metropolitan
1 Harris St,house,3,1.0,2.0,524.0,,,630000.0,Ray,2017-06-17,St Albans,14.0,-37.75098,144.80331,Western Metropolitan
1 Harrison Av,house,3,,,,,,,,,Burwood,10.4,,,Southern Metropolitan
1 Hartlands Rd,house,3,2.0,2.0,,,,1630000.0,Miles,2017-08-26,Ivanhoe East,7.8,-37.77347,145.064,Eastern Metropolitan
1 Hazel Gr,house,3,1.0,2.0,956.0,,,1663000.0,Nelson,2017-01-07,Pascoe Vale,8.5,-37.73103,144.93963,Northern Metropolitan
1 Heape Wy,house,5,3.0,2.0,649.0,,,1100000.0,Sell,2017-09-23,Ringwood North,19.9,-37.78958,145.23886000000005,Eastern Metropolitan
1 Heather St,house,2,1.0,2.0,848.0,,,1962000.0,Buxton,2017-05-20,Bentleigh East,13.9,-37.9199,145.0573,Southern Metropolitan
1 Heleus Ct,house,3,1.0,1.0,,129.0,1970.0,,,,Mount Waverley,14.2,-37.86218,145.1435,Eastern Metropolitan
1 Henry St,house,2,1.0,0.0,279.0,,,,,,Sandringham,15.2,-37.9463,145.0078,Southern Metropolitan
1 Herbert Pl,house,2,1.0,1.0,152.0,,,,,,Albert Park,3.3,-37.8437,144.959,Southern Metropolitan
1 Heritage Dr,house,3,1.0,4.0,540.0,,1978.0,603000.0,Ray,2017-09-12,Mill Park,17.9,-37.65248,145.04973,Northern Metropolitan
1 Heysen Dr,house,3,2.0,2.0,600.0,140.0,1980.0,410000.0,Brad,2017-03-06,Sunbury,31.7,-37.57686,144.71023,Western Metropolitan
1 Higgs Av,house,3,1.0,,634.0,132.0,1980.0,705000.0,Millership,2017-10-28,Mill Park,17.9,-37.67464,145.06473,Northern Metropolitan
1 Highgate St,house,4,1.0,5.0,445.0,139.0,1977.0,985500.0,Jas,2017-05-13,Yarraville,7.0,-37.8228,144.8769,Western Metropolitan
1 Hillcrest Rd,house,4,3.0,2.0,910.0,,,2450000.0,Marshall,2017-06-24,Glen Iris,7.3,-37.86194,145.07256,Southern Metropolitan
1 Hillside Rd,house,5,3.0,1.0,1850.0,,1910.0,2530000.0,Miles,2016-08-13,Rosanna,11.4,-37.7465,145.0612,Eastern Metropolitan
1 Hinkler St,house,3,1.0,2.0,597.0,,,925000.0,S&L,2017-08-04,Braybrook,10.8,-37.7888,144.8511,Western Metropolitan
1 Hodgson Tce,house,3,2.0,1.0,159.0,,,1495000.0,Biggin,2016-11-27,Richmond,2.6,-37.8195,144.9974,Northern Metropolitan
1 Holmhurst Ct,house,4,3.0,1.0,618.0,222.0,1950.0,,,,Brighton East,10.7,-37.9294,145.0138,Southern Metropolitan
1 Holmwood Brk,house,2,,,,,,706000.0,Buxton,2017-11-25,Dingley Village,22.2,,,South-Eastern Metropolitan
1 Holt St,house,5,2.0,2.0,,,,940000.0,Barry,2017-07-10,Ardeer,12.8,-37.77733,144.79721,Western Metropolitan
1 Homewood Ri,house,4,,,,,,2200000.0,Woodards,2017-11-18,Warrandyte,21.1,,,Eastern Metropolitan
1 Hooper St,house,3,,,,,,810000.0,Miles,2017-10-28,MacLeod,12.7,,,Northern Metropolitan
1 Hornby St,house,4,2.0,2.0,659.0,,1950.0,1720000.0,Ray,2017-09-09,Black Rock,17.3,-37.97951,145.02515,Southern Metropolitan
1 Hosken St,house,5,2.0,2.0,1173.0,0.0,1960.0,2800000.0,Marshall,2017-08-26,Balwyn North,9.7,-37.80385,145.09094,Southern Metropolitan
1 Hotchkiss Wy,house,4,,,,,,715000.0,Brad,2017-06-24,Keilor Downs,15.5,,,Western Metropolitan
1 Hotspur Dr,house,4,2.0,2.0,445.0,200.0,2012.0,,,,Wollert,25.5,-37.61831,145.02372,Northern Metropolitan
1 Hovell St,house,3,1.0,6.0,534.0,,,629500.0,HAR,2017-09-16,Deer Park,14.8,-37.75504,144.77313999999996,Western Metropolitan
1 Howard Ct,house,3,2.0,2.0,647.0,152.0,1970.0,,,,Doncaster,13.9,-37.7769,145.1164,Eastern Metropolitan
1 Howell St,house,3,1.0,1.0,364.0,165.0,1985.0,560000.0,Harcourts,2017-06-24,Lalor,16.3,-37.67122,145.01487,Northern Metropolitan
1 Howitt Cr,house,3,,,,,,470000.0,Douglas,2016-10-09,Sunshine West,13.5,,,Western Metropolitan
1 Howson Ct,house,4,2.0,5.0,719.0,271.0,1950.0,2100000.0,Harcourts,2017-05-13,Mont Albert,11.8,-37.812,145.1082,Eastern Metropolitan
1 Hudson St,house,3,1.0,2.0,589.0,97.0,1960.0,600000.0,Jellis,2017-11-25,Fawkner,13.1,-37.7017,144.9723,Northern Metropolitan
1 Hume St,house,3,1.0,1.0,582.0,,,487000.0,Leeburn,2017-08-07,Sunbury,31.7,-37.58025,144.71759,Western Metropolitan
1 Imaroo St,house,4,2.0,1.0,430.0,,,570500.0,Ray,2016-10-15,Fawkner,12.4,-37.7185,144.9754,Northern Metropolitan
1 Irene Ct,house,4,2.0,2.0,483.0,,,1130000.0,O'Brien,2017-10-28,Cheltenham,17.9,-37.96504,145.07193999999996,Southern Metropolitan
1 Irving Rd,house,4,2.0,2.0,643.0,30.0,,400000.0,YPA,2017-03-06,Melton,31.7,-37.68834,144.56803,Western Victoria
1 Ivison Wy,house,3,,,,,,910000.0,Buxton,2017-02-25,Hampton,13.7,,,Southern Metropolitan
1 Ivy Ct,house,3,2.0,4.0,524.0,,,667500.0,Barry,2017-11-11,Mill Park,17.9,-37.6765,145.0525,Northern Metropolitan
1 Jacaranda St,house,3,2.0,2.0,382.0,173.0,1960.0,770000.0,Stockdale,2016-09-17,Oak Park,11.5,-37.7152,144.9165,Northern Metropolitan
1 Jackson St,house,3,1.0,1.0,,118.0,1977.0,594000.0,Barry,2017-07-10,South Morang,20.5,-37.65437,145.0854,Northern Metropolitan
1 James St,house,3,1.0,1.0,725.0,,,650000.0,Brad,2016-11-19,Fawkner,12.4,-37.7115,144.9731,Northern Metropolitan
1 Jarrah Ct,house,3,2.0,2.0,509.0,160.0,1975.0,720500.0,LJ,2017-07-10,Boronia,25.0,-37.84739,145.3024,Eastern Metropolitan
1 Jassa St,house,3,1.0,2.0,686.0,122.0,1950.0,1352000.0,Woodards,2016-11-19,Bentleigh East,13.9,-37.9113,145.0765,Southern Metropolitan
1 Jennings St,house,4,2.0,4.0,809.0,269.0,1910.0,,,,Moonee Ponds,6.9,-37.7617,144.9117,Western Metropolitan
1 Jetty La,house,4,2.0,2.0,,,,1156000.0,Brad,2017-11-18,Maribyrnong,4.3,-37.786,144.8982,Western Metropolitan
1 Joan St,house,3,1.0,2.0,686.0,,,575000.0,Douglas,2016-09-17,Sunshine West,13.5,-37.7901,144.8068,Western Metropolitan
1 John St,house,2,1.0,1.0,103.0,,,730000.0,Nelson,2016-05-22,Clifton Hill,3.4,-37.7898,144.9957,Northern Metropolitan
1 Jolie Gr,house,3,2.0,2.0,651.0,146.0,1960.0,,,,Box Hill,13.1,-37.8274,145.1306,Eastern Metropolitan
1 Jordan Ct,house,4,2.0,2.0,669.0,156.0,1977.0,685000.0,Win,2017-10-14,Endeavour Hills,28.5,-37.97571,145.24913999999995,South-Eastern Metropolitan
1 Jordan St,house,2,1.0,2.0,554.0,116.0,1930.0,1315000.0,Nelson,2016-09-24,Brunswick West,5.9,-37.7715,144.9426,Northern Metropolitan
1 Judith St,house,3,1.0,2.0,654.0,,,1200000.0,JY,2017-11-18,Burwood,10.4,-37.8511,145.108,Southern Metropolitan
1 Kakadu Vw,house,4,,,,,,,,,South Morang,20.5,,,Northern Metropolitan
1 Kangaroo Rd,house,4,2.0,2.0,,94.0,1950.0,930000.0,O'Brien,2017-09-09,Chelsea,27.0,-38.04545,145.11375,South-Eastern Metropolitan
1 Keith St,house,3,1.0,2.0,588.0,101.0,1960.0,1400000.0,Hodges,2017-10-28,Parkdale,21.5,-37.99201,145.08461,South-Eastern Metropolitan
1 Kenneth St,house,4,2.0,4.0,,,,715000.0,Purplebricks,2017-07-10,Noble Park,22.7,-37.97969000000001,145.178,South-Eastern Metropolitan
1 Kent Rd,house,3,2.0,2.0,534.0,121.0,1980.0,600000.0,Ray,2017-05-27,Lalor,16.3,-37.67323,145.03976,Northern Metropolitan
1 Keppel Ct,house,3,2.0,2.0,,,,650000.0,Barry,2017-09-12,Dandenong,24.7,-37.98568,145.20455,South-Eastern Metropolitan
1 Kilwarrie St,house,1,,,,,,376000.0,Iconek,2017-11-18,Wollert,25.5,,,Northern Metropolitan
1 King St,house,3,1.0,1.0,,,,556000.0,YPA,2017-11-25,Glenroy,11.2,-37.7001,144.9182,Northern Metropolitan
1 Kingswood Av,house,3,2.0,3.0,650.0,,,1150000.0,Buxton,2017-08-07,Mount Waverley,14.2,-37.89469,145.12363,Eastern Metropolitan
1 Knutsford St,house,4,3.0,2.0,596.0,,,2900000.0,Marshall,2016-05-22,Balwyn,9.7,-37.815,145.076,Southern Metropolitan
1 Konrad St,house,4,2.0,2.0,633.0,,1975.0,1100000.0,Hodges,2016-04-06,Bentleigh East,13.9,-37.9272,145.0644,Southern Metropolitan
1 Koukoura Dr,house,4,2.0,2.0,396.0,165.0,2016.0,585000.0,Iconek,2017-09-12,Epping,19.6,-37.61983,144.99608,Northern Metropolitan
1 Laburnum Ct,house,4,,,,,,,,,Brighton,11.2,,,Southern Metropolitan
1 Laburnum Gr,house,3,,,,,,,,,Doveton,28.8,,,South-Eastern Metropolitan
1 Laguna Cl,house,3,,,,,,670000.0,Nelson,2017-11-11,Keilor Lodge,15.5,,,Western Metropolitan
1 Laidlaw Ct,house,3,,,,,,,,,Keysborough,25.2,,,South-Eastern Metropolitan
1 Laird St,house,3,,,,,,1130000.0,Fletchers,2017-07-29,Croydon,23.0,,,Eastern Metropolitan
1 Lambert Av,house,3,,,,,,437000.0,YPA,2017-11-18,Sunbury,31.7,,,Western Metropolitan
1 Lancaster Wy,house,2,,,,,,,,,Beaconsfield,39.0,,,Eastern Victoria
1 Lanigan St,house,4,,,,,,,,,Fawkner,13.1,,,Northern Metropolitan
1 Larool Cr,house,3,,,,,,555000.0,Barry,2016-04-16,Sunshine West,13.5,,,Western Metropolitan
1 Latrose St,house,3,,,,,,570000.0,Nelson,2016-09-24,Keilor Park,14.5,,,Western Metropolitan
1 Laverton St,house,2,,,,,,890000.0,Greg,2016-09-17,Williamstown,8.0,,,Western Metropolitan
1 Lebanon St,house,3,2.0,3.0,653.0,,1940.0,995000.0,Jellis,2017-05-20,Strathmore,9.7,-37.7296,144.9225,Western Metropolitan
1 Lenore Cr,house,3,,,,,,,,,Williamstown,8.0,,,Western Metropolitan
1 Leonard St,house,3,1.0,1.0,620.0,130.0,1950.0,,,,Burwood,11.7,-37.8543,145.1195,Southern Metropolitan
1 Leonie Ct,townhouse,3,2.0,2.0,709.0,36.0,1960.0,1960000.0,Buxton,2017-09-16,Brighton,10.5,-37.91414,145.00527,Southern Metropolitan
1 Leopold St,house,3,1.0,2.0,763.0,118.0,1950.0,1187000.0,Brad,2017-10-21,Burwood,11.7,-37.8589,145.0948,Southern Metropolitan
1 Lex Gr,house,3,2.0,2.0,536.0,,,837500.0,Stockdale,2017-09-12,Oak Park,11.2,-37.71809,144.92632,Northern Metropolitan
1 Liam Av,house,3,2.0,2.0,343.0,,,575000.0,Ray,2017-11-25,Tarneit,18.4,-37.8666,144.6595,Western Metropolitan
1 Lincoln Wy,house,4,1.0,3.0,675.0,147.0,1980.0,430000.0,hockingstuart,2017-09-23,Melton West,31.7,-37.67363,144.55888000000004,Northern Victoria
1 Link Pde,house,3,2.0,1.0,,98.0,1960.0,482000.0,Brad,2018-06-01,Fawkner,13.1,-37.70687,144.97027,Northern Metropolitan
1 Llewellyn Ct,house,4,2.0,2.0,,,,553500.0,Sweeney,2017-09-23,Hoppers Crossing,18.4,-37.86572,144.68993999999995,Western Metropolitan
1 Longford Ct,house,4,2.0,3.0,,142.0,1980.0,625000.0,Prof.,2017-11-18,Kealba,14.0,-37.7378,144.825,Western Metropolitan
1 Longmeadow Rd,house,4,2.0,2.0,430.0,155.0,2013.0,563000.0,Ray,2017-09-12,Officer,43.3,-38.07273,145.43373,Eastern Victoria
1 Loxton Wy,house,4,2.0,2.0,600.0,300.0,2010.0,643500.0,C21,2017-07-22,Pakenham,47.3,-38.07583,145.43698,Eastern Victoria
1 Luxmoore St,house,4,2.0,2.0,,176.0,2007.0,1375000.0,Buxton,2017-10-14,Cheltenham,17.9,-37.95915,145.04311,Southern Metropolitan
1 MacKinnon Gr,house,4,2.0,5.0,,140.0,1950.0,,,,Glenroy,11.2,-37.71227,144.92242,Northern Metropolitan
1 MacMeikan St,house,3,1.0,1.0,,121.0,2014.0,440000.0,Brad,2017-08-19,Whittlesea,35.5,-37.51324,145.11501,Northern Victoria
1 Maffra Ct,house,3,2.0,2.0,731.0,168.0,1980.0,,,,Dandenong North,24.7,-37.94198,145.21589,South-Eastern Metropolitan
1 Maitland St,house,3,2.0,4.0,885.0,217.0,1910.0,2825000.0,Jellis,2016-09-17,Glen Iris,9.2,-37.8577,145.0421,Southern Metropolitan
1 Malane St,house,3,1.0,2.0,342.0,125.0,1925.0,,,,Ormond,11.8,-37.9029,145.0366,Southern Metropolitan
1 Manatoka Cr,house,4,2.0,2.0,,,,,,,Hampton Park,33.3,-38.04723,145.27997,South-Eastern Metropolitan
1 Maple St,house,3,1.0,2.0,228.0,,2005.0,836000.0,Jellis,2016-11-19,Box Hill,13.1,-37.8261,145.1281,Eastern Metropolitan
1 Marchant Av,house,2,1.0,1.0,,,,880000.0,Ray,2017-03-09,Reservoir,12.0,-37.71588,145.01074,Northern Metropolitan
1 Marina St,house,5,2.0,2.0,599.0,235.0,,1150000.0,Jellis,2017-09-16,Vermont,17.2,-37.84158,145.19762,Eastern Metropolitan
1 Marion Av,house,2,,,,,,989000.0,Ray,2016-12-11,Brunswick West,5.9,,,Northern Metropolitan
1 Markstone Ct,house,2,1.0,2.0,619.0,,,710000.0,S&L,2017-04-03,Sunshine,12.6,-37.7794,144.8395,Western Metropolitan
1 Marne St,house,4,2.0,2.0,702.0,239.0,1927.0,2125000.0,Marshall,2016-05-22,Surrey Hills,11.2,-37.8345,145.095,Southern Metropolitan
1 Marner Av,house,3,,,,,,493500.0,Barry,2017-05-27,Hillside,18.0,,,Western Metropolitan
1 Marriage Rd,house,4,2.0,2.0,732.0,,,1815000.0,hockingstuart,2016-05-22,Brighton East,10.7,-37.9184,145.007,Southern Metropolitan
1 May Ct,house,5,2.0,2.0,576.0,,,1350000.0,Harcourts,2017-09-12,Glen Waverley,16.7,-37.89563,145.15104,Eastern Metropolitan
1 McArthur St,house,4,2.0,2.0,338.0,126.0,1930.0,,,,Malvern,7.4,-37.8573,145.0389,Southern Metropolitan
1 McBride Rd,house,3,2.0,2.0,,,,764000.0,Peake,2017-09-23,Beaconsfield Upper,39.8,-38.00556,145.40993999999995,Eastern Victoria
1 McCarron Pde,house,4,2.0,2.0,725.0,,,1775000.0,Nelson,2016-12-06,Essendon,8.0,-37.7551,144.9047,Western Metropolitan
1 McCarthy St,house,4,2.0,2.0,665.0,252.0,1940.0,,,,Hampton,13.8,-37.93145,145.00016000000005,Southern Metropolitan
1 McDonnell Rd,house,2,1.0,4.0,629.0,120.0,1960.0,820000.0,Nelson,2016-12-11,Coburg North,9.2,-37.7276,144.9688,Northern Metropolitan
1 McKay Ct,house,3,1.0,1.0,,,,690000.0,Barry,2017-10-14,Dandenong North,24.7,-37.9657,145.22005,South-Eastern Metropolitan
1 McKillop Wy,house,3,,,,,,440000.0,Purplebricks,2017-07-10,Plumpton,23.8,,,Western Metropolitan
1 McLean St,house,3,3.0,1.0,131.0,109.0,2008.0,645000.0,Nelson,2017-06-05,Brunswick West,5.9,-37.7559,144.9378,Northern Metropolitan
1 Meadowbank St,house,3,1.0,2.0,742.0,101.0,1970.0,780000.0,Brad,2017-06-05,Glenroy,13.0,-37.702,144.9538,Northern Metropolitan
1 Meagher St,house,3,1.0,1.0,671.0,103.0,1960.0,741000.0,Buckingham,2016-12-11,Watsonia,14.9,-37.7072,145.0855,Northern Metropolitan
1 Meldrum St,house,4,2.0,2.0,763.0,,,1610000.0,Jellis,2016-12-11,Kew East,7.5,-37.7916,145.0529,Southern Metropolitan
1 Melissa St,house,5,,,,,,920000.0,Nelson,2016-10-12,Strathmore,9.7,-37.7312,144.9181,Western Metropolitan
1 Melva St,house,4,3.0,2.0,635.0,200.0,1950.0,1515000.0,Buxton,2017-06-05,Bentleigh East,13.9,-37.9107,145.0745,Southern Metropolitan
1 Mendip Rd,house,3,1.0,4.0,670.0,134.0,1935.0,1025000.0,RW,2016-11-27,Reservoir,11.2,-37.7242,145.0154,Northern Metropolitan
1 Menzies St,house,2,1.0,2.0,551.0,,,670000.0,Douglas,2016-08-13,Braybrook,10.8,-37.7825,144.8545,Western Metropolitan
1 Metherall St,house,4,,,,,,630000.0,Barry,2017-08-04,Sunshine North,13.3,-37.7657,144.8286,Western Metropolitan
1 Middle Rd,house,3,1.0,2.0,688.0,113.0,1940.0,1190000.0,Nelson,2017-09-12,Maribyrnong,4.3,-37.76834,144.89411,Western Metropolitan
1 Mikado St,house,3,1.0,6.0,700.0,,,870000.0,Stockdale,2017-05-27,Hadfield,11.2,-37.70569,144.94048,Northern Metropolitan
1 Millis Av,house,4,2.0,3.0,,,1950.0,1420000.0,Jellis,2018-06-01,Bentleigh East,13.8,-37.92885,145.06422,Southern Metropolitan
1 Mills Ct,house,4,,,,,,1061000.0,Ray,2017-11-18,Mulgrave,18.8,,,South-Eastern Metropolitan
1 Mitchell St,house,3,1.0,,154.0,,,,,,Richmond,2.4,-37.82422,145.00799999999995,Northern Metropolitan
1 Moama St,house,3,1.0,1.0,658.0,105.0,1960.0,765000.0,GL,2017-02-25,Braybrook,10.8,-37.7905,144.8485,Western Metropolitan
1 Moira Av,house,4,,,,,,,,,Reservoir,11.2,,,Northern Metropolitan
1 Montana St,house,4,3.0,4.0,1258.0,254.0,1941.0,2300000.0,Jellis,2016-06-08,Glen Iris,9.2,-37.8552,145.082,Southern Metropolitan
1 Monteith St,house,2,1.0,1.0,1474.0,,,1080000.0,McGrath,2017-12-08,Croydon,23.0,-37.79079,145.26924,Eastern Metropolitan
1 Monterey Bvd,house,3,1.0,0.0,624.0,114.0,1962.0,452000.0,Ray,2017-03-06,Frankston North,36.9,-38.1187,145.14973,Eastern Victoria
1 Morris St,house,6,1.0,6.0,691.0,5.0,,1900000.0,hockingstuart,2016-05-22,Balwyn North,9.2,-37.8022,145.0775,Southern Metropolitan
1 Mortimer St,house,2,2.0,1.0,443.0,125.0,1940.0,,,,Heidelberg,10.6,-37.7511,145.0582,Eastern Metropolitan
1 Moubray St,house,3,2.0,1.0,132.0,159.0,1996.0,1800000.0,Greg,2016-07-11,Albert Park,3.3,-37.8415,144.952,Southern Metropolitan
1 Murray Rd,house,3,1.0,2.0,875.0,,,,,,Croydon,23.0,-37.79878,145.26815,Eastern Metropolitan
1 Myamyn St,house,3,2.0,2.0,650.0,,,850000.0,Douglas,2018-06-01,Braybrook,8.6,-37.79037,144.84742,Western Metropolitan
1 Myross Av,house,4,,,,,,1800000.0,Brad,2016-08-28,Ascot Vale,5.9,,,Western Metropolitan
1 Myvore Ct,house,4,3.0,2.0,750.0,,,,,,Toorak,4.6,-37.8465,145.03,Southern Metropolitan
1 Nagle Ct,house,4,2.0,2.0,647.0,206.0,1974.0,,,,Rosanna,11.4,-37.7327,145.0701,Eastern Metropolitan
1 Nairn Av,house,2,,,,,,1075000.0,Jellis,2016-05-14,Ascot Vale,5.9,,,Western Metropolitan
1 Nancarrow Dr,house,3,1.0,2.0,290.0,,,470000.0,HAR,2018-06-01,Doreen,25.9,-37.60915,145.13453,Northern Victoria
1 Natasha Cl,house,5,2.0,2.0,,782.0,,,,,St Helena,16.1,-37.68779,145.12638,Eastern Metropolitan
1 Nayook La,townhouse,3,2.0,2.0,275.0,,,820000.0,Biggin,2017-03-18,Maribyrnong,8.7,-37.7719,144.8767,Western Metropolitan
1 Nebel St,house,3,1.0,1.0,551.0,,,685500.0,HAR,2017-03-09,Lalor,16.3,-37.66613,145.01346999999996,Northern Metropolitan
1 Neimur Av,house,2,,,,,,1025000.0,FN,2017-06-17,Deer Park,14.8,,,Western Metropolitan
1 Newlands Ct,house,4,3.0,4.0,534.0,176.0,1975.0,925000.0,Ray,2017-09-09,Wantirna,14.7,-37.85298,145.23935,Eastern Metropolitan
1 Newry St,house,2,1.0,2.0,198.0,,,1220000.0,Jellis,2016-06-18,Richmond,2.6,-37.8244,145.0046,Northern Metropolitan
1 Newsom Ct,house,4,2.0,2.0,776.0,,,730000.0,O'Brien,2017-11-11,Berwick,35.2,-38.0223,145.3387,Eastern Victoria
1 Nicholas Ct,house,4,2.0,2.0,745.0,182.0,1992.0,920000.0,Brad,2016-10-12,Keilor East,12.8,-37.7479,144.8805,Western Metropolitan
1 Nioka Ct,house,3,2.0,2.0,794.0,,,720000.0,Buckingham,2017-07-10,Eltham,18.0,-37.71417,145.13707,Eastern Metropolitan
